id;lastname;firstname;phone;country_code;status_kyc
1;au-delà;tant que;+33 629696242;AZ;SUCCESS
2;du fait que étant donné que âcre;ha à seule fin de secours;+33 158564890;VG;PENDING
3;concernant rectorat badaboum;athlète smack habile;0120667758;DJ;SUCCESS
4;tendre;secours;+33 574966253;SB;FAILURE
5;comme;agréable conseil d’administration porte-parole;0617204598;DZ;FAILURE
6;par suite de meuh;tranquille;0317298247;GN;FAILURE
7;grâce à;magnifique;0721806993;HU;PENDING
8;un peu;lentement reprocher;+33 332082879;MT;PENDING
9;responsable si restituer;en bas de au défaut de;0258638037;NL;FAILURE
10;au moyen de;athlète suivant badaboum;+33 789722330;TV;FAILURE
