id;reference;type_piece;number_piece;photo_piece_url;photo_selfie_url
1;naguère;encourager placer;en excéder;délégation sans doute;hypocrite
2;maintenant si habile;subito cuicui fidèle;probablement;dense siffler à condition que;prestataire de services
3;tranquille rallier mériter;broum;à cause de sans conseil d’administration;tendre;autour
4;extrêmement à travers;réussir lorsque;tic-tac;responsable rectorat dès;sage paf
5;doucement oui;fade;assurément au-dessous de;mairie après que délégation;toc-toc
6;adepte;lorsque;calme;étant donné que circulaire ronron;athlète
7;y;aussitôt que;accorder athlète;psitt autrefois;forcer
8;ouin;à l'instar de apaiser via;adversaire au-dessus pff;jusqu’à ce que;résumer clac
9;via;craquer;à condition que novice incognito;brouiller;ouf avant que diplomate
10;entre-temps rejoindre;turquoise avant que ouah;guide du moment que;a devant;aïe
